epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1365,3.78934,4.17445,4.14207,0.0019,0.33333,0.00214,0.00089,3.1977,3.54265,4.17321,0.000653333,0.000653333,0.000653333
2,57.6549,3.13694,3.69982,3.61641,0.14868,0.09722,0.06874,0.02085,2.80586,3.30802,3.95439,0.00131129,0.00131129,0.00131129
3,88.2425,2.86143,3.27389,3.14238,0.00235,0.05556,0.00048,0.00018,4.30189,43.5109,6.34454,0.00196044,0.00196044,0.00196044
4,113.392,2.69845,3.04143,2.92249,0.015,0.125,0.00646,0.00163,3.48397,15.0953,4.99593,0.0019604,0.0019604,0.0019604
5,139.027,2.54079,2.87281,2.74454,0.0024,0.23611,0.00193,0.00061,3.12641,5.17916,3.5817,0.0019472,0.0019472,0.0019472
6,164.45,2.37998,2.6427,2.60192,0.30578,0.125,0.11251,0.04095,2.56796,3.52744,3.09719,0.001934,0.001934,0.001934
7,190.358,2.38883,2.64263,2.57106,0.22926,0.22222,0.11661,0.04533,2.46573,4.78625,2.96554,0.0019208,0.0019208,0.0019208
8,216.291,2.32647,2.48054,2.46911,0.00352,0.09722,0.00269,0.00092,2.69811,11.5581,3.10958,0.0019076,0.0019076,0.0019076
9,241.626,2.26702,2.38263,2.41432,0.29301,0.31944,0.22207,0.09417,2.31497,3.29113,2.73923,0.0018944,0.0018944,0.0018944
10,267.484,2.23634,2.36205,2.35669,0.24315,0.23611,0.18518,0.08705,2.51278,3.16176,2.92555,0.0018812,0.0018812,0.0018812
11,292.773,2.15208,2.20643,2.27089,0.44225,0.125,0.14626,0.05245,2.60009,7.66635,2.96803,0.001868,0.001868,0.001868
12,318.176,2.12881,2.1508,2.19931,0.14552,0.29167,0.13664,0.05898,2.06741,3.61879,2.56739,0.0018548,0.0018548,0.0018548
13,343.664,2.16917,2.17112,2.22811,0.19665,0.09722,0.06398,0.02793,2.70387,4.54687,3.04488,0.0018416,0.0018416,0.0018416
14,369.332,2.05057,1.98295,2.11202,0.10365,0.125,0.10347,0.03317,2.39986,4.66001,2.82487,0.0018284,0.0018284,0.0018284
15,394.687,2.05928,2.0689,2.13706,0.30286,0.45833,0.28223,0.12506,1.91847,2.87232,2.32599,0.0018152,0.0018152,0.0018152
16,424.746,1.99568,1.95121,2.04832,0.4219,0.27778,0.32781,0.14356,1.92768,2.29148,2.34444,0.001802,0.001802,0.001802
17,450.196,1.98126,1.89799,2.0612,0.56681,0.32719,0.41966,0.14471,2.18953,2.75701,2.61072,0.0017888,0.0017888,0.0017888
18,475.863,2.01649,1.97318,2.11832,0.48015,0.51389,0.48597,0.21765,2.01539,2.33356,2.5077,0.0017756,0.0017756,0.0017756
19,506.678,1.97986,1.95715,2.06434,0.67135,0.51389,0.6121,0.30694,1.81061,1.72883,2.27198,0.0017624,0.0017624,0.0017624
20,537.386,1.90768,1.85747,1.96446,0.64521,0.52778,0.58307,0.30148,1.8315,1.87597,2.2668,0.0017492,0.0017492,0.0017492
21,562.556,1.93169,1.80473,2.00058,0.47597,0.56944,0.56563,0.26525,1.88423,2.03713,2.33828,0.001736,0.001736,0.001736
22,587.852,1.89672,1.81985,1.99392,0.57513,0.625,0.62242,0.33008,1.81673,1.71006,2.33628,0.0017228,0.0017228,0.0017228
23,617.053,1.87495,1.7752,1.95843,0.61565,0.41667,0.46744,0.22035,1.95337,2.10423,2.36196,0.0017096,0.0017096,0.0017096
24,642.18,1.86946,1.76031,1.94696,0.59832,0.58333,0.55738,0.28579,1.68965,1.79986,2.098,0.0016964,0.0016964,0.0016964
25,667.035,1.88166,1.77117,1.96513,0.65086,0.51389,0.50827,0.25568,1.8487,2.07593,2.29418,0.0016832,0.0016832,0.0016832
26,691.991,1.79882,1.72513,1.89911,0.76946,0.64903,0.73379,0.34986,1.77613,1.54142,2.18364,0.00167,0.00167,0.00167
27,721.695,1.8222,1.72229,1.9048,0.65512,0.55556,0.58844,0.30779,1.72653,1.82319,2.17317,0.0016568,0.0016568,0.0016568
28,746.788,1.84316,1.69936,1.94395,0.56755,0.56511,0.60863,0.29514,1.75182,1.70335,2.22851,0.0016436,0.0016436,0.0016436
29,771.712,1.8148,1.67375,1.88582,0.69485,0.66667,0.69274,0.35591,1.74784,1.52151,2.18488,0.0016304,0.0016304,0.0016304
30,797.271,1.76862,1.64985,1.85255,0.71855,0.66667,0.66492,0.33348,1.71617,2.09756,2.16388,0.0016172,0.0016172,0.0016172
31,822.261,1.71857,1.5929,1.83834,0.74491,0.65278,0.71702,0.37945,1.64357,1.49614,2.07656,0.001604,0.001604,0.001604
32,847.734,1.73548,1.56856,1.83881,0.63199,0.56944,0.59767,0.3191,1.68324,1.74644,2.12293,0.0015908,0.0015908,0.0015908
33,872.849,1.71178,1.5697,1.79876,0.79758,0.65675,0.76184,0.40645,1.71939,1.4397,2.14465,0.0015776,0.0015776,0.0015776
34,898.142,1.72311,1.55779,1.83407,0.70108,0.52778,0.61675,0.28266,1.87253,1.76084,2.23094,0.0015644,0.0015644,0.0015644
35,923.113,1.68831,1.4897,1.76637,0.73137,0.51389,0.65845,0.31512,1.79465,1.59585,2.2422,0.0015512,0.0015512,0.0015512
36,948.177,1.72461,1.51317,1.80032,0.86315,0.56944,0.67491,0.34681,1.64545,1.7366,2.09145,0.001538,0.001538,0.001538
37,973.541,1.68026,1.49106,1.74127,0.77085,0.73611,0.81297,0.41118,1.65407,1.33694,2.07783,0.0015248,0.0015248,0.0015248
38,999.234,1.68675,1.47984,1.75934,0.72428,0.72222,0.78907,0.42271,1.59645,1.27133,2.04655,0.0015116,0.0015116,0.0015116
39,1024.8,1.66339,1.44968,1.7694,0.82178,0.7045,0.77317,0.40408,1.66668,1.39277,2.10622,0.0014984,0.0014984,0.0014984
40,1050.14,1.67968,1.5163,1.78649,0.50138,0.375,0.47397,0.23248,1.76724,2.84274,2.22219,0.0014852,0.0014852,0.0014852
41,1075.66,1.63547,1.40594,1.71726,0.61806,0.58333,0.63214,0.30915,1.80222,1.7317,2.23096,0.001472,0.001472,0.001472
42,1101.04,1.60367,1.38324,1.74425,0.83477,0.56142,0.74046,0.36539,1.76551,1.40615,2.17399,0.0014588,0.0014588,0.0014588
43,1126.33,1.6501,1.38926,1.74306,0.8313,0.61111,0.69879,0.38662,1.61101,1.47231,2.00451,0.0014456,0.0014456,0.0014456
44,1151.94,1.65434,1.4119,1.74886,0.72908,0.52778,0.60845,0.30822,1.67957,1.72735,2.12809,0.0014324,0.0014324,0.0014324
45,1177.23,1.55758,1.32926,1.65347,0.7967,0.65278,0.77448,0.4373,1.53035,1.23767,2.01903,0.0014192,0.0014192,0.0014192
46,1203.13,1.5894,1.35079,1.70997,0.88892,0.55574,0.712,0.38528,1.64445,1.47794,2.09204,0.001406,0.001406,0.001406
47,1228.73,1.59455,1.38397,1.69637,0.78856,0.72523,0.78761,0.39719,1.69009,1.30218,2.16011,0.0013928,0.0013928,0.0013928
48,1255.88,1.58211,1.34625,1.68045,0.80075,0.61111,0.75826,0.40075,1.6481,1.36787,2.11181,0.0013796,0.0013796,0.0013796
