epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7655,1.99551,3.00432,1.87371,0,0,0,0,4.23718,inf,75.6331,0.000653333,0.000653333,0.000653333
2,91.4507,2.14869,2.46155,2.01307,0,0,0,0,nan,nan,nan,0.00131129,0.00131129,0.00131129
3,132.778,2.14088,2.31002,1.96415,0.00473,0.125,0.00193,0.00046,nan,nan,nan,0.00196044,0.00196044,0.00196044
4,173.201,2.10329,2.28884,1.96078,0.012,0.125,0.00375,0.00174,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,214.081,2.02652,2.14806,1.88298,0.0518,0.05556,0.03059,0.01537,2.66606,13.2973,2.87814,0.0019472,0.0019472,0.0019472
6,255.406,1.946,1.98543,1.81003,0.31917,0.22222,0.1953,0.08086,2.11442,8.28971,2.27651,0.001934,0.001934,0.001934
7,295.779,1.98982,2.04909,1.82048,0.44656,0.26389,0.28002,0.12595,2.332,4.17983,2.43717,0.0019208,0.0019208,0.0019208
8,339.353,1.93942,1.91815,1.77302,0.31743,0.34722,0.31698,0.12593,2.19809,4.96376,2.298,0.0019076,0.0019076,0.0019076
9,380.236,1.92721,1.88255,1.74208,0.21858,0.30556,0.19653,0.08015,2.0396,5.22464,2.17198,0.0018944,0.0018944,0.0018944
10,420.541,1.84096,1.80487,1.69857,0.59715,0.51471,0.5551,0.28854,1.72366,2.08225,1.86514,0.0018812,0.0018812,0.0018812
11,463.296,1.8252,1.72153,1.68196,0.62519,0.44444,0.48275,0.20359,1.98591,2.90115,2.18342,0.001868,0.001868,0.001868
12,503.638,1.76955,1.68229,1.64421,0.62954,0.54167,0.6269,0.31288,1.65242,1.75709,1.82675,0.0018548,0.0018548,0.0018548
13,544.521,1.78323,1.68363,1.63777,0.55262,0.5,0.49706,0.25781,1.73962,3.03144,1.91083,0.0018416,0.0018416,0.0018416
14,584.948,1.73814,1.59558,1.60568,0.72284,0.65278,0.73536,0.37743,1.56094,2.11013,1.65036,0.0018284,0.0018284,0.0018284
15,631.445,1.72515,1.65899,1.62747,0.78657,0.5,0.62229,0.30333,1.74393,2.08062,1.92434,0.0018152,0.0018152,0.0018152
16,672.501,1.6818,1.55603,1.57062,0.84654,0.52778,0.71983,0.35948,1.60262,1.48158,1.73867,0.001802,0.001802,0.001802
17,712.907,1.6805,1.51512,1.57835,0.80471,0.69444,0.78603,0.41388,1.58954,1.56097,1.6942,0.0017888,0.0017888,0.0017888
18,753.953,1.71976,1.58109,1.61084,0.79717,0.66667,0.69098,0.34207,1.76704,1.5471,1.81362,0.0017756,0.0017756,0.0017756
19,794.388,1.70179,1.59085,1.59264,0.75814,0.41667,0.57248,0.29136,1.70501,1.96217,1.8491,0.0017624,0.0017624,0.0017624
20,834.827,1.66668,1.48399,1.55891,0.73525,0.73611,0.68506,0.35523,1.61305,1.45729,1.76913,0.0017492,0.0017492,0.0017492
21,875.122,1.67299,1.47862,1.56202,0.83146,0.73611,0.83211,0.4548,1.51926,1.23152,1.67447,0.001736,0.001736,0.001736
22,916.385,1.623,1.40441,1.54365,0.71996,0.60708,0.66628,0.348,1.61398,1.60665,1.76034,0.0017228,0.0017228,0.0017228
23,956.768,1.61116,1.39007,1.52513,0.73044,0.68056,0.76677,0.42263,1.56301,1.36604,1.69949,0.0017096,0.0017096,0.0017096
24,997.176,1.64373,1.444,1.53966,0.83195,0.70833,0.80583,0.46204,1.47274,1.16985,1.63285,0.0016964,0.0016964,0.0016964
25,1039.55,1.63427,1.42178,1.53676,0.73587,0.7352,0.78046,0.42081,1.49899,1.4022,1.63348,0.0016832,0.0016832,0.0016832
26,1080.04,1.54353,1.33529,1.49161,0.70167,0.78404,0.80688,0.43352,1.54579,1.17661,1.68849,0.00167,0.00167,0.00167
27,1120.37,1.57321,1.34393,1.50072,0.74999,0.70829,0.77107,0.44498,1.4589,1.37706,1.62674,0.0016568,0.0016568,0.0016568
28,1160.6,1.63282,1.37129,1.55784,0.81666,0.66667,0.77377,0.37658,1.69084,1.27501,1.90957,0.0016436,0.0016436,0.0016436
29,1201.25,1.62091,1.38451,1.5285,0.80724,0.75616,0.81856,0.44217,1.59775,1.24148,1.7236,0.0016304,0.0016304,0.0016304
30,1241.82,1.54412,1.27834,1.47849,0.75658,0.61111,0.67886,0.36553,1.65413,1.46774,1.76378,0.0016172,0.0016172,0.0016172
31,1282.13,1.49901,1.27669,1.47293,0.76789,0.77778,0.81866,0.45489,1.53757,1.38532,1.67956,0.001604,0.001604,0.001604
32,1322.5,1.50978,1.2753,1.46598,0.68206,0.71511,0.7494,0.39318,1.55647,1.24731,1.74061,0.0015908,0.0015908,0.0015908
33,1363.74,1.50682,1.23461,1.45518,0.75509,0.76389,0.81153,0.42461,1.54911,1.33368,1.74157,0.0015776,0.0015776,0.0015776
34,1404.1,1.54841,1.25888,1.50081,0.82151,0.72222,0.83461,0.43957,1.5697,1.16784,1.79421,0.0015644,0.0015644,0.0015644
35,1444.29,1.4998,1.21609,1.46672,0.80402,0.76389,0.81694,0.44891,1.49979,1.16243,1.62611,0.0015512,0.0015512,0.0015512
36,1484.62,1.52117,1.22423,1.46462,0.69034,0.65278,0.72249,0.41333,1.5381,1.3538,1.67445,0.001538,0.001538,0.001538
37,1525.37,1.48777,1.23477,1.42816,0.7294,0.82368,0.82843,0.46336,1.48449,1.23336,1.63382,0.0015248,0.0015248,0.0015248
38,1569.73,1.46859,1.18594,1.42101,0.92958,0.72222,0.84104,0.476,1.44035,1.0613,1.6445,0.0015116,0.0015116,0.0015116
39,1610.37,1.4397,1.1581,1.42934,0.65525,0.71278,0.7157,0.38862,1.58342,1.40385,1.69118,0.0014984,0.0014984,0.0014984
40,1651.85,1.46203,1.1762,1.42914,0.74792,0.55556,0.66803,0.33624,1.57185,1.44885,1.71868,0.0014852,0.0014852,0.0014852
41,1692.2,1.46967,1.16639,1.42293,0.92073,0.72222,0.84343,0.48762,1.37735,1.09754,1.59866,0.001472,0.001472,0.001472
42,1732.66,1.40445,1.12061,1.41322,0.74318,0.68056,0.72928,0.36898,1.67987,1.28377,1.83013,0.0014588,0.0014588,0.0014588
43,1773.16,1.45878,1.12838,1.43311,0.81178,0.65896,0.7304,0.39968,1.68456,1.29723,1.83437,0.0014456,0.0014456,0.0014456
44,1813.72,1.42867,1.12523,1.40699,0.82464,0.80556,0.85126,0.48875,1.49384,0.97232,1.67067,0.0014324,0.0014324,0.0014324
45,1854.23,1.38597,1.04594,1.37552,0.84627,0.76457,0.85148,0.46606,1.55811,1.12282,1.70606,0.0014192,0.0014192,0.0014192
46,1894.51,1.41476,1.08307,1.39821,0.82366,0.80556,0.83638,0.48038,1.4833,1.11786,1.61774,0.001406,0.001406,0.001406
47,1934.84,1.38042,1.09165,1.37891,0.6673,0.86111,0.7851,0.44736,1.49216,1.09622,1.68081,0.0013928,0.0013928,0.0013928
48,1976.19,1.41054,1.06794,1.39916,0.7088,0.83333,0.84311,0.4933,1.40065,0.93852,1.60566,0.0013796,0.0013796,0.0013796
49,2020.18,1.40202,1.08806,1.38525,0.78946,0.73611,0.82157,0.46837,1.48462,1.19909,1.62462,0.0013664,0.0013664,0.0013664
50,2060.57,1.36904,1.03274,1.36427,0.88722,0.76482,0.8875,0.50877,1.42914,0.94124,1.62244,0.0013532,0.0013532,0.0013532
51,2101.41,1.34304,0.99308,1.3755,0.75902,0.72222,0.76731,0.46828,1.41651,1.20691,1.59125,0.00134,0.00134,0.00134
52,2141.75,1.3146,1.01777,1.35083,0.85802,0.75544,0.8679,0.4945,1.49575,0.95848,1.68298,0.0013268,0.0013268,0.0013268
53,2182.08,1.34284,1.01866,1.35404,0.78262,0.86111,0.85242,0.49034,1.45069,0.97913,1.64538,0.0013136,0.0013136,0.0013136
54,2222.36,1.31888,0.98033,1.34293,0.90344,0.79167,0.87556,0.54582,1.40133,0.90464,1.54286,0.0013004,0.0013004,0.0013004
55,2268.35,1.33213,0.96503,1.33697,0.72715,0.69444,0.7659,0.448,1.50882,1.11937,1.74185,0.0012872,0.0012872,0.0012872
56,2309.51,1.30817,0.95129,1.34667,0.78999,0.78372,0.83476,0.50267,1.44739,1.00179,1.65731,0.001274,0.001274,0.001274
57,2350.06,1.29285,0.97393,1.31361,0.84394,0.70833,0.82221,0.50962,1.45162,1.02171,1.64244,0.0012608,0.0012608,0.0012608
58,2390.5,1.30711,1.01239,1.34463,0.79731,0.79167,0.85614,0.50033,1.4542,0.92823,1.65203,0.0012476,0.0012476,0.0012476
59,2430.74,1.30903,0.95014,1.33539,0.87889,0.80638,0.87141,0.53902,1.36756,1.02566,1.57394,0.0012344,0.0012344,0.0012344
60,2471.01,1.26448,0.9471,1.32358,0.81654,0.79167,0.82567,0.48553,1.50314,1.01623,1.69714,0.0012212,0.0012212,0.0012212
61,2511.82,1.27644,0.93885,1.31359,0.77312,0.69444,0.78695,0.4599,1.4374,1.12215,1.62193,0.001208,0.001208,0.001208
