epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4844,1.80155,2.81625,1.57042,0.005,0.875,0.08784,0.0336,1.8487,3.35441,1.99987,0.000653333,0.000653333,0.000653333
2,53.675,1.84224,2.29661,1.64771,0.0323,0.20833,0.01983,0.00802,2.02121,8.41295,2.54742,0.00131533,0.00131533,0.00131533
3,74.9778,1.88327,2.14407,1.65589,0.25522,0.30556,0.21715,0.08926,2.1148,4.44376,2.42217,0.00197262,0.00197262,0.00197262
4,94.9076,1.86684,2.0461,1.66368,0.29211,0.22222,0.13929,0.04997,2.27623,6.09837,2.72696,0.00197879,0.00197879,0.00197879
5,116.14,1.82353,1.87417,1.61353,0.49751,0.43056,0.37801,0.14721,1.88245,2.57148,2.01684,0.00197171,0.00197171,0.00197171
6,136.373,1.76249,1.77836,1.57699,0.47866,0.51389,0.45018,0.2071,1.71984,3.12759,1.90906,0.00196464,0.00196464,0.00196464
7,157.571,1.78714,1.78761,1.6023,0.3603,0.23611,0.21636,0.08313,nan,nan,nan,0.00195757,0.00195757,0.00195757
8,178.527,1.781,1.67626,1.59538,0.74222,0.59722,0.66078,0.26064,1.81956,2.03594,2.02124,0.0019505,0.0019505,0.0019505
9,199.07,1.76646,1.62986,1.57445,0.70041,0.58448,0.68307,0.36375,1.59143,1.63399,1.62246,0.00194343,0.00194343,0.00194343
10,220.529,1.71536,1.60934,1.54419,0.70446,0.59592,0.65225,0.37826,1.61544,1.82559,1.67002,0.00193636,0.00193636,0.00193636
11,240.504,1.65138,1.52185,1.52399,0.76327,0.70833,0.76038,0.42035,1.51981,2.13257,1.60514,0.00192929,0.00192929,0.00192929
12,262.559,1.67035,1.50905,1.50715,0.71505,0.625,0.65516,0.33309,1.56256,1.45014,1.58612,0.00192221,0.00192221,0.00192221
13,282.641,1.65423,1.46122,1.49995,0.66544,0.66667,0.67235,0.35728,1.6037,1.52437,1.67471,0.00191514,0.00191514,0.00191514
14,303.469,1.6256,1.38085,1.45425,0.80888,0.76415,0.83456,0.43749,1.54918,1.53366,1.56092,0.00190807,0.00190807,0.00190807
15,324.124,1.61635,1.44924,1.47418,0.6936,0.78604,0.76944,0.39655,1.61211,1.39941,1.62977,0.001901,0.001901,0.001901
16,344.171,1.5987,1.38134,1.45666,0.74339,0.70833,0.77983,0.39472,1.64632,1.3651,1.68774,0.00189393,0.00189393,0.00189393
17,365.249,1.61207,1.35745,1.47135,0.74668,0.70833,0.79276,0.41484,1.5309,1.21266,1.58474,0.00188686,0.00188686,0.00188686
18,385.483,1.60675,1.3989,1.48101,0.76101,0.80556,0.79501,0.47183,1.4666,1.15128,1.57396,0.00187979,0.00187979,0.00187979
19,406.334,1.60059,1.40144,1.46534,0.7418,0.63845,0.71677,0.36249,1.68591,1.47744,1.72535,0.00187271,0.00187271,0.00187271
20,426.16,1.56153,1.31218,1.42703,0.77188,0.69444,0.78053,0.40507,1.52832,1.90129,1.61651,0.00186564,0.00186564,0.00186564
21,447.2,1.55589,1.30219,1.43457,0.7808,0.79158,0.80781,0.46753,1.50261,1.23183,1.59776,0.00185857,0.00185857,0.00185857
22,467.432,1.55799,1.28703,1.44774,0.77712,0.66667,0.74772,0.36235,1.5486,1.32936,1.6894,0.0018515,0.0018515,0.0018515
23,487.758,1.53238,1.23799,1.4353,0.79879,0.73611,0.81173,0.46569,1.4784,1.23959,1.58178,0.00184443,0.00184443,0.00184443
24,508.815,1.53532,1.24675,1.43237,0.7159,0.80498,0.82437,0.49192,1.39536,0.97818,1.5064,0.00183736,0.00183736,0.00183736
25,529.168,1.58344,1.26547,1.44316,0.68812,0.65278,0.71109,0.4021,1.52665,1.45814,1.65783,0.00183029,0.00183029,0.00183029
26,550.386,1.48382,1.21608,1.39585,0.82095,0.75,0.83567,0.4652,1.49571,1.0178,1.56375,0.00182321,0.00182321,0.00182321
27,570.472,1.51074,1.23542,1.40809,0.82254,0.70813,0.82207,0.45654,1.44268,1.21837,1.61351,0.00181614,0.00181614,0.00181614
28,591.428,1.55524,1.24066,1.46198,0.71343,0.72222,0.74018,0.42611,1.42503,1.38037,1.57694,0.00180907,0.00180907,0.00180907
29,611.101,1.51213,1.19705,1.42255,0.85518,0.73817,0.84564,0.49072,1.41911,1.06421,1.5545,0.001802,0.001802,0.001802
30,631.961,1.48697,1.15226,1.40179,0.81753,0.76389,0.78498,0.43829,1.56699,1.04106,1.59579,0.00179493,0.00179493,0.00179493
31,651.495,1.42426,1.15789,1.37082,0.81608,0.77778,0.84233,0.48394,1.51047,1.057,1.56157,0.00178786,0.00178786,0.00178786
32,672.052,1.46389,1.15902,1.38792,0.79382,0.75,0.78155,0.40324,1.46285,1.18374,1.61799,0.00178079,0.00178079,0.00178079
33,691.553,1.43393,1.10861,1.36383,0.86892,0.54167,0.70137,0.37454,1.65155,1.48327,1.73708,0.00177371,0.00177371,0.00177371
34,711.008,1.47165,1.151,1.41148,0.84881,0.85774,0.878,0.51257,1.49384,0.91377,1.61765,0.00176664,0.00176664,0.00176664
35,729.687,1.42255,1.11666,1.3598,0.77721,0.83333,0.84847,0.4775,1.56366,0.97935,1.6777,0.00175957,0.00175957,0.00175957
36,749.38,1.4484,1.11513,1.37618,0.8685,0.63889,0.77955,0.44469,1.54927,1.17606,1.61096,0.0017525,0.0017525,0.0017525
37,768.084,1.42047,1.11383,1.34273,0.82648,0.59722,0.74273,0.42105,1.45511,1.18685,1.52811,0.00174543,0.00174543,0.00174543
38,787.832,1.40665,1.08744,1.3572,0.78354,0.70833,0.78876,0.44343,1.544,1.04945,1.64737,0.00173836,0.00173836,0.00173836
39,806.241,1.40251,1.07637,1.36119,0.81139,0.70833,0.82822,0.44851,1.54702,1.07405,1.63054,0.00173129,0.00173129,0.00173129
40,826.287,1.41996,1.09833,1.36555,0.91744,0.73611,0.8345,0.46877,1.49916,0.9833,1.58529,0.00172421,0.00172421,0.00172421
41,845.059,1.42817,1.06662,1.357,0.8388,0.84722,0.86555,0.48771,1.48058,0.95504,1.60409,0.00171714,0.00171714,0.00171714
42,864.866,1.37664,1.02303,1.34323,0.71533,0.58333,0.68705,0.40252,1.4492,1.3328,1.5993,0.00171007,0.00171007,0.00171007
